LANGUAGE, "English", "French"
STR_MKK_round_finalscore, "Final score", "Score final"
STR_MKK_round_nextroundstart, "Next round start in", "Le prochain round commence dans"

STR_MKK_game_warn1stperson, "Warning, switching to 1st person view will mess audio", "Attention, la vue à la 1ère personne cause des problèmes de son"
STR_MKK_game_waitscoreupdate, "Waiting for score update", "En attente de mis a jour du score"
STR_MKK_game_roundendsin, "Round ends in %1", "Fin du round dans %1"
STR_MKK_game_roundendsinagressive, "Round ends in %1, switching to aggressive mode", "Fin du round dans %1, passage en mode agressif"
STR_MKK_game_remainingtime, "Remaining time", "Temps restant"
STR_MKK_game_currentscore, "Current score", "Score actuel"

STR_MKK_player_unstruck, "Request unstuck", "Demander un déblocage"
STR_MKK_player_unstruckWait, "Unstick request only allowed every 30sec, please wait %1sec...", "Demande de déblocage autorisée uniquement toutes les 30 secondes, veuillez patienter %1sec..."
STR_MKK_player_youpicked, "You picked", "Vous avez ramassez"

STR_MKK_item_boost, "Boost", "Boost"
STR_MKK_item_barrelexp, "Explosive barrel", "Bidon explosif"
STR_MKK_item_fakebox, "Fake itembox", "Faux ballon"
STR_MKK_item_oilspill, "Oil spill", "Flaque d'huile"
STR_MKK_item_inv, "Invincibility", "Invincibilité"
STR_MKK_item_mine, "Mine", "Mine"
STR_MKK_item_smoke, "Smoke grenade", "Grenade fumigène"
STR_MKK_item_missile, "Missile", "Missile"
STR_MKK_item_hedgehog, "Czech hedgehog", "Hérisson tchèque"




















STR_MKK_, "", ""



























