LANGUAGE, "English", "French"
//params: invincibility
STR_NNS_param_Invincibility_title, "Invincibility", "Invincibilité"

//fuel canister
STR_NNS_FuelCanister, "Jerrycan", "Jerrican"
STR_NNS_TakeFuelCanister, "Take jerrycan", "Prendre le jerrican"
STR_NNS_FuelTank_drain, "Drain the fuel tank", "Siphonner le réservoir de carburant"
STR_NNS_FuelTank_draincargo, "Drain the tank", "Siphonner la citerne"
STR_NNS_FuelTank_fill, "Fill the fuel tank", "Remplir le réservoir de carburant"

//debriefing and in-map statistics
STR_NNS_Debrif_Stats_title, "Team statistics", "Statistiques d'équipe"
STR_NNS_Debrif_Stats_team, "Team", "Équipe"
STR_NNS_Debrif_Stats_nodata, "No data received yet.", "Aucune donnée n'a encore été reçue."
STR_NNS_Debriefing_AmmoUsed_title, "&#160;&#160;&#160;&#160;&#160;<t underline='1'>Ammo&#160;used:</t> %1 Bullet%2%3%4%5%6", "&#160;&#160;&#160;&#160;<t underline='1'>Munitions&#160;utilisé:</t> %1 Balle%2%3%4%5%6"
STR_NNS_Debriefing_AmmoUsed_HEgrenades, ", %1 HE grenade%2", ", %1 Grenade%2"
STR_NNS_Debriefing_AmmoUsed_SmokeGrenade, ", %1 Smoke grenade%2", ", %1 Fumigène%2"
STR_NNS_Debriefing_AmmoUsed_Rockets, ", %1 Rocket%2", ", %1 Missile%2"
STR_NNS_Debriefing_AmmoUsed_Vehicle, ", %1 shot%2 from Vehicle", ", %1 tir%2 depuis véhicule"
STR_NNS_Debriefing_DistanceTravel_title, "&#160;&#160;&#160;&#160;&#160;<t underline='1'>Distance&#160;traveled:</t> %1m on foot%2", "&#160;&#160;&#160;&#160;<t underline='1'>Distance&#160;parcourue:</t> %1m à pied%2"
STR_NNS_Debriefing_DistanceTravel_vehicle, ", %1m in vehicle, %2m total", ", %1m en véhicule, %2m au total"
STR_NNS_Debriefing_LongestKill_title, "&#160;&#160;&#160;&#160;&#160;<t underline='1'>Longest&#160;kill:</t> %1m%2", "&#160;&#160;&#160;&#160;<t underline='1'>Frag&#160;distant:</t> %1m%2"
STR_NNS_Debriefing_FriendlyKill_title, "&#160;&#160;&#160;&#160;&#160;<t underline='1'>Friendly&#160;killed:</t> %1%2", "&#160;&#160;&#160;&#160;<t underline='1'>Frag&#160;alliée:</t> %1%2"
STR_NNS_Debriefing_GroupStats_title, "Group statistics", "Statistiques du groupe"

//respawn
STR_NNS_loadout_previous, "Previous Loadout", "Équipement précédent"
STR_NNS_loadout_restore, "Restore Loadout", "Restorer l'équipement"

//vehicle lottery
STR_NNS_lottery_title, "Lottery", "Loterie"
STR_NNS_lottery_vehicle_won, "You won a %1", "Vous avez gagner un %1"
STR_NNS_lottery_weapon_won, "You won a %1", "Vous avez gagner un %1"
STR_NNS_lottery_weapon_pickAmmo, "Take some magazines", "Prendre quelques chargeurs"



